"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"七彩喷射","PHB'14","222","1环","1 动作","1 round","幻术","自身 (15-尺 锥形)","声音, 姿势, 材料 (一撮粉末或沙子，其颜色必须包含红、黄、蓝三色)","术士, 法师","吟游诗人","炫目的彩光从你指间散射而出。掷一次 6d10；其结果为受该法术影响生物的生命值总数。在以你为源点的 15 尺锥状区域内的生物以剩余生命值由小至大的顺序受法术影响（生效时忽略昏迷生物和不能视物的生物）。计算受法术影响生物时，从剩余生命值最低的生物开始逐个计算。每个受术生物均陷入目盲，直至你的下一回合结束。法术掷骰的生命值总数减去一个受术生物的生命值后，余数再用以计算生命值稍高者是否受法术影响。生物剩余生命值，必须小于等于该余数法术才能成功影响该生物。"," 升环施法效应. 使用二环或更高法术位施展该法术时，你使用的法术位每比一环高一环，法术的掷骰时就增加 2d10。"
"七彩喷射","PHB'24","251","1环","1 动作","Instantaneous","幻术","自身 (15-尺 锥形)","声音, 姿势, 材料 (一小撮彩色沙子)","吟游诗人, 术士, 法师","","你发射出一系列令人眼花缭乱的闪烁、五彩斑斓的光芒。在你发出的15英尺锥形区域内的每个生物都必须成功进行一次体质豁免检定，否则直到你的下一个回合结束都会获得目盲状态。",""
"万箭齐发","PHB'14","226","5环","1 动作","Instantaneous","咒法","150 尺","声音, 姿势, 材料 (一发弹药或一把投掷武器)","游侠","","你向空中用远程武器射出一发非魔法的弹药或者掷出一把非魔法的投掷武器，并指定施法距离内一点，随后，无数以所发射弹药或武器为原型的复制体向该点倾盆而下，并在完成攻击后消失不见。箭雨充斥以目标点为中心半径 40 尺，高 20 尺的柱状区域，其内的每个生物都必须进行一次敏捷豁免，豁免失败者将受到 8d8 点伤害，豁免成功则伤害减半。法术所造成伤害的类型与用作法术成分材料的弹药或武器相同。",""
"万箭齐发","PHB'24","255","5环","1 动作","Instantaneous","咒法","150 尺","声音, 姿势, 材料 (一件至少价值1铜币的近战或远程武器)","游侠","","你挥舞用来施放法术的武器，并在射程内选择一个点。数百个类似的幽灵武器（或适合该武器的弹药）以一阵齐射落下然后消失。你可以看到的，位于以该点为中心的40英尺半径、20英尺高的圆柱体内，你选择的每个生物必须进行一次敏捷豁免检定。一个生物在失败的豁免检定上承受8d8力量伤害，成功的豁免检定则承受一半的伤害。",""
"不灭明焰","PHB'14","227","2环","1 动作","Until 解除","塑能","触及","声音, 姿势, 材料 (价值 50gp 的红宝石粉末，作为该法术的耗材)","奇械师, 法师, 牧师","德鲁伊","你在所触碰物件上制造如火把一样亮的火焰，使其看上去与一般火焰无异，不过其并不会发热，也不需要燃烧氧气。你可以掩盖或隐藏它，但无法将之闷熄或扑灭。",""
"不灭明焰","PHB'24","256","2环","1 动作","Until 解除","塑能","触及","声音, 姿势, 材料 (价值50+金币的红宝石粉尘，该法术会消耗掉)","奇械师, 德鲁伊, 法师, 牧师","","你触摸的物体上冒出火焰。这个效果在20英尺半径内产生明亮光照，并在额外的20英尺范围内产生微光光照。它看起来像普通的火焰，但不产生热量，也不消耗燃料。火焰可以被覆盖或隐藏，但不会被闷熄或扑灭。",""
"不谐低语","PHB'14","234","1环","1 动作","Instantaneous","惑控","60 尺","声音","吟游诗人","","你指定一个施法距离内能够听到你声音的生物，并对其说出只有他能听到的不谐低语，使其受强烈的痛苦折磨。目标必须进行一次感知豁免。豁免失败则受到 3d6 点心灵伤害，并立即执行反应往远离你的方向移动其速度所允许的距离。该生物不会进入明显危险的地域，如火堆或陷坑。豁免成功则伤害减半，且不会执行远离的反应。陷入耳聋状态的目标，进行该豁免时直接判定为成功。"," 升环施法效应. 使用二环或更高法术位施展该法术时，你使用的法术位每比一环高一环，法术的伤害就增加 1d6。"
"不谐低语","PHB'24","264","1环","1 动作","Instantaneous","惑控","60 尺","声音","吟游诗人","","在你射程内你能看到的一个你选择的生物在它的脑海中听到了一段不和谐的曲调。目标必须进行一次智慧豁免检定。如果豁免失败，它将受到3d6点心灵伤害，并且必须立即使用它的反应（如果可用），尽可能远地沿着最安全的路线远离你。如果豁免成功，目标只受到一半的伤害。"," 升环施法效应. 对于1级以上的法术位，每增加一级，伤害增加1d6。"
"云雾术","PHB'14","243","1环","1 动作","Concentration, up to 1 hour","咒法","120 尺","声音, 姿势","德鲁伊, 术士, 法师, 游侠","","你以施法距离内一点为中心创造一片半径 20 尺的球状浓雾。浓雾在球形内充斥所有角落，并造成重度遮蔽。浓雾持续至法术持续时间结束，但仍可被和风或更强风势（至少每小时 10 里）所吹散。"," 升环施法效应. 使用二环或更高法术位施展该法术时，你使用的法术位每比一环高一环，浓雾的半径就增加 20 尺。"
"云雾术","PHB'24","276","1环","1 动作","Concentration, up to 1 hour","咒法","120 尺","声音, 姿势","德鲁伊, 术士, 法师, 游侠","","你在射程内的某一点为中心创建一个20英尺半径的雾气球体。球体被重度遮蔽。它持续到持续时间结束，或者直到强风（如由造风术法术创造的）将其驱散。"," 升环施法效应. 雾的半径每超过1级法术位就增加20英尺。"
